date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v1_total_cost_yuan,savings_vs_v1_yuan,same_risk_no_storage_cost_yuan
2025-04-02,1,64914.37894114538,3382.184686321509,68296.5636274669,38725.108406023064,13492.60260777851,52217.71101380157,21552.70105589146,17457.687855272085,3766.2150268475184,58,1,1733.467480839583,19,563.7044622168343,6000.000000000004,6000.000000000004,58056.460031498595,5838.749017697024,60363.04540648774
2025-04-03,1,66585.40374115367,438.4262764480299,67023.8300176017,39702.07309732879,1717.443181423949,41419.51627875274,21642.397934070967,17530.34232659748,7048.244143461547,29,1,65.67990015415603,3,1285.4563297144368,6000.000000000004,6000.000000000003,42780.628424674505,1361.1121459217684,53683.95460326075
2025-04-04,1,29783.94054113699,187.42822864192604,29971.368769778917,15094.941334713882,766.6317151123694,15861.573049826251,16000.000000000005,12960.000000000016,20500.566519778928,17,1,15.66239307803653,2,918.6198217688421,6000.000000000003,5999.999999999991,16203.415247050893,341.8421972246415,28062.236140719077
2025-04-05,1,29979.21815704981,523.1478157539525,30502.365972803764,15179.303835435529,2039.8631076868066,17219.166943122334,16000.0,12959.99999999999,15418.250989470422,29,1,274.5027954909484,8,1063.6923355319311,5999.999999999991,6000.000000000002,22361.647877664203,5142.480934541869,28285.47737708485
2025-04-06,1,66410.95352963892,152.09618206812905,66563.04971170705,39422.18745553025,609.3197986019632,40031.50725413221,21675.1221572074,17556.848947337996,8034.700235170981,12,1,0.0,0,2342.5735249318514,6000.000000000002,5999.999999999999,39466.8279333049,-564.6793208273084,52000.966733865345
2025-04-07,1,65854.1500518769,176.51087120015768,66030.66092307706,38994.50485683795,481.9390629320923,39476.44391977004,21609.596230036615,17503.772946329656,8682.118356036763,19,1,22.133027013892615,5,3043.7020695460574,5999.999999999999,5999.999999999999,40732.052964065646,1255.6090442956047,51267.58712234026
2025-04-08,1,65722.5695041373,606.6180301891214,66329.18753432641,38912.034255976214,2791.862776083892,41703.8970320601,21617.417749008797,17510.10837669712,7868.684545348069,36,1,24.357746854848983,3,1215.4625344077228,5999.999999999999,6000.000000000001,42266.883000391485,562.9859683313844,53816.83641510349
2025-04-09,1,64567.02502201335,1835.5958988748548,66402.6209208882,38357.33430009919,6107.99739062768,44465.33169072687,21543.847187308595,17450.51622171996,3174.978938632901,44,1,1366.3631992987814,22,871.5829434662444,6000.000000000001,6000.0000000000055,52592.25480562957,8126.923114902704,53289.99571334619
2025-04-10,1,65751.57938019345,661.4001715071707,66412.97955170061,39037.700596739676,2979.73150377272,42017.4321005124,21709.402068758674,17584.615675694527,7827.555258636475,31,1,102.6883533416053,7,1515.5403120184994,6000.0000000000055,6000.000000000002,43566.95741426932,1549.5253137569234,53962.67123290024
2025-04-11,1,29183.61099050627,402.35664412986694,29585.967634636138,14650.545873058034,1602.5538388431132,16253.099711901148,16000.0,12960.000000000002,21229.31746796947,26,1,71.09577873404419,4,1237.035635174741,6000.000000000002,6000.0,16766.9297737706,513.830061869452,28327.43507371376
2025-04-12,1,29526.071356041208,160.86660552046308,29686.93796156167,14847.18083076083,683.7671799960134,15530.948010756842,15999.999999999996,12960.000000000002,17621.777411561678,9,1,7.1342550861954805,1,1586.5586823397823,6000.0,5999.999999999999,17987.702119457303,2456.754108700461,27522.098551589177
2025-04-13,1,64984.92839902231,305.3315130947685,65290.25991211708,38410.07437928626,1379.8921911360674,39789.96657042234,21532.910534408828,17441.657532871148,6922.648427246068,27,1,4.718066192920105,2,2035.1844969977267,5999.999999999999,6000.000000000002,42807.48506898168,3017.518498559344,51676.90647377872
2025-04-14,1,64568.85266376129,274.5609270853303,64843.41359084662,38086.279112237375,1220.048323201947,39306.32743543932,21330.213646963246,17277.473054040227,8262.641197923598,22,1,57.40614572970139,2,1805.4202139510846,6000.000000000002,6000.000000000002,39624.36952999136,318.0420945520382,51025.698621776726
2025-04-15,1,64593.1872300765,94.77425131502275,64687.961481391525,38213.78056836207,428.6498228473046,38642.430391209375,21466.475464050895,17387.845125881224,10469.90230988852,9,1,47.848924205252615,3,3983.5869329940015,6000.000000000002,6000.0,40948.88018739402,2306.4497961846428,50324.52763725164
2025-04-16,1,63411.125760508185,686.2529867115965,64097.37874721978,37514.99269662666,2296.382156023471,39811.37485265013,21025.77977854345,17030.881620620195,4322.888639296523,34,1,380.9173123202289,12,1304.6964801468248,6000.0,5999.999999999998,45569.875828825214,5758.500976175084,50950.001930030405
