date,soc_start_kwh,soc_end_kwh,emergency_kwh,emergency_cost_yuan
2025-10-28,8700.0,8700.0,331.9615220668137,1361.6900514377435
2025-10-29,8700.0,6000.000000000347,1554.8754373958939,5560.592281397921
2025-10-30,6000.000000000347,5999.999999999997,372.4668306920082,1475.260591855642
2025-10-31,5999.999999999997,8700.0,425.79890361795674,1712.9199262956008
2025-11-01,8700.0,8700.0,292.02811578779114,895.3347644304226
2025-11-02,8700.0,8700.0,514.618204678247,2307.9859532098194
2025-11-03,8700.0,8700.000000000002,534.0599817062383,1576.462089911964
2025-11-04,8700.000000000002,8700.000000000002,392.72266479517936,1748.9351765241706
2025-11-05,8700.000000000002,5999.999999999996,400.2801503355695,1218.1610663785198
2025-11-06,5999.999999999996,6000.000000000007,1420.3948822138248,6449.715078540604
2025-11-07,6000.000000000007,8700.0,388.8231667033255,1697.9015979041646
2025-11-08,8700.0,8700.0,204.90641858327254,743.1288849671797
2025-11-09,8700.0,8700.000000000002,735.7867507040405,3260.874568113309
2025-11-10,8700.000000000002,8700.0,870.5556909593364,3406.1282971666024
2025-11-11,8700.0,8700.000000000004,214.79565119564703,797.3456942550596
2025-11-12,8700.000000000004,7200.0,246.22440650179414,1214.7324166157412
2025-11-13,7200.0,7199.999999999999,671.9896553409264,2545.2575029977706
2025-11-14,7199.999999999999,8700.0,108.79513551031198,360.6798992470515
2025-11-15,8700.0,8700.0,227.80580322034865,893.2467882075204
2025-11-16,8700.0,8700.0,805.7753956535623,3049.0993554418014
2025-11-17,8700.0,8700.0,243.22444695730618,844.1286368139873
2025-11-18,8700.0,8700.000000000002,541.5566911661278,1579.6852838601546
2025-11-19,8700.000000000002,7200.000000000002,449.05632237136405,1622.762297843828
2025-11-20,7200.000000000002,7950.0,336.15271873648953,1264.493113502589
2025-11-21,7950.0,8700.0,307.8783297031558,848.1239749776331
2025-11-22,8700.0,8700.0,219.15970134040197,683.9468277533849
2025-11-23,8700.0,8700.0,671.2648409856557,2909.7341346560306
2025-11-24,8700.0,8700.000000000002,288.0568308395833,1050.9535620965128
2025-11-25,8700.000000000002,8700.0,431.0697822843242,1566.8344684585393
2025-11-26,8700.0,8400.000000000002,317.6879576560813,1132.00503324151
