date,common_initial_soc_kwh,purchase_l1_difference_kwh,charge_l1_difference_kwh,discharge_l1_difference_kwh,r1_end_soc_kwh,r2_end_soc_kwh,end_soc_difference_kwh
2025-07-18,3566.297532672428,0.0,0.0,0.0,3538.021997522648,3538.021997522648,0.0
2025-07-19,3538.0219975226487,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-07-20,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-07-21,8550.000000000004,8.185452315956354e-12,4.092726157978177e-12,3.274180926382542e-12,8549.999999999996,8549.999999999996,0.0
2025-07-22,8550.000000000002,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-07-23,8550.0,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-07-24,8549.999999999998,0.0,0.0,0.0,3687.048923578086,3687.048923578086,0.0
2025-07-25,3687.048923578084,0.0,0.0,0.0,3574.235005451843,3574.235005451843,0.0
2025-07-26,3574.2350054518447,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-07-27,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.0,8550.0,0.0
2025-07-28,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.0,8550.0,0.0
2025-07-29,8550.000000000002,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-07-30,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.0,8550.0,0.0
2025-07-31,8550.000000000002,4.092726157978177e-12,2.0463630789890885e-12,1.637090463191271e-12,3839.313196076344,3839.313196076344,0.0
2025-08-01,3839.313196076346,0.0,0.0,0.0,3722.2929736525566,3722.2929736525566,0.0
2025-08-02,3722.2929736525507,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-08-03,8550.0,0.0,0.0,0.0,8550.000000000002,8550.000000000002,0.0
2025-08-04,8550.000000000002,4.092726157978177e-12,2.0463630789890885e-12,1.637090463191271e-12,8550.0,8550.0,0.0
2025-08-05,8550.0,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-08-06,8550.000000000002,4.092726157978177e-12,2.0463630789890885e-12,1.637090463191271e-12,8550.000000000004,8550.000000000004,0.0
2025-08-07,8550.000000000002,0.0,0.0,0.0,3208.946011561673,3208.946011561673,0.0
2025-08-08,3208.946011561671,0.0,0.0,0.0,2988.912976789967,2988.912976789967,0.0
2025-08-09,2988.912976789972,0.0,0.0,0.0,8550.000000000005,8550.000000000005,0.0
2025-08-10,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-08-11,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-08-12,8550.0,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-08-13,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.0,8550.0,0.0
2025-08-14,8550.0,0.0,0.0,0.0,3051.157178377689,3051.157178377689,0.0
2025-08-15,3051.1571783776894,0.0,0.0,0.0,2948.3406165044707,2948.3406165044707,0.0
2025-08-16,2948.340616504469,0.0,0.0,0.0,8550.000000000002,8550.000000000002,0.0
2025-08-17,8550.000000000002,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-08-18,8550.0,0.0,0.0,0.0,8549.999999999995,8549.999999999995,0.0
2025-08-19,8550.0,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-08-20,8550.0,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-08-21,8550.000000000002,0.0,0.0,0.0,3733.8873111718967,3733.8873111718967,0.0
2025-08-22,3733.8873111718967,0.0,0.0,0.0,3757.3880910217963,3757.3880910217963,0.0
2025-08-23,3757.388091021794,0.0,0.0,0.0,8549.999999999993,8549.999999999993,0.0
2025-08-24,8549.999999999998,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-08-25,8550.0,0.0,1.1368683772161603e-13,0.0,8550.000000000004,8550.000000000004,0.0
2025-08-26,8550.000000000002,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-08-27,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.000000000002,8550.000000000002,0.0
2025-08-28,8550.0,0.0,0.0,0.0,3867.907597223526,3867.907597223526,0.0
2025-08-29,3867.9075972235287,0.0,0.0,0.0,3893.30723013471,3893.30723013471,0.0
2025-08-30,3893.3072301347083,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-08-31,8550.000000000004,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-09-01,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-09-02,8550.0,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-09-03,8550.000000000004,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-09-04,8550.0,0.0,0.0,0.0,4221.133338209707,4221.133338209707,0.0
2025-09-05,4221.133338209706,0.0,0.0,0.0,3846.0462129676625,3846.0462129676625,0.0
2025-09-06,3846.0462129676625,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-09-07,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-09-08,8550.000000000002,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-09-09,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-09-10,8550.000000000002,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-09-11,8550.0,0.0,0.0,0.0,4018.430192108609,4018.430192108609,0.0
2025-09-12,4018.4301921086108,0.0,0.0,0.0,4108.087345100753,4108.087345100753,0.0
2025-09-13,4108.087345100754,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-09-14,8550.000000000002,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-09-15,8550.000000000002,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-09-16,8550.000000000004,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-09-17,8549.999999999998,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-09-18,8550.000000000002,0.0,0.0,0.0,4489.087857177325,4489.087857177325,0.0
2025-09-19,4489.0878571773255,0.0,0.0,0.0,4492.6753403695575,4492.6753403695575,0.0
2025-09-20,4492.675340369557,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-09-21,8549.999999999998,0.0,0.0,0.0,8549.999999999993,8549.999999999993,0.0
2025-09-22,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-09-23,8550.000000000004,8.185452315956354e-12,4.092726157978177e-12,3.274180926382542e-12,8550.0,8550.0,0.0
2025-09-24,8549.999999999998,0.0,0.0,0.0,8550.000000000002,8550.000000000002,0.0
2025-09-25,8550.000000000004,8.185452315956354e-12,4.092726157978177e-12,3.274180926382542e-12,4843.011040411545,4843.011040411545,0.0
2025-09-26,4843.011040411547,0.0,0.0,0.0,4789.019508059751,4789.019508059751,0.0
2025-09-27,4789.019508059752,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-09-28,8550.0,0.0,1.1368683772161603e-13,0.0,8550.000000000005,8550.000000000005,0.0
2025-09-29,8550.000000000002,3.865352482534945e-12,2.0463630789890885e-12,1.637090463191271e-12,8550.0,8550.0,0.0
2025-09-30,8550.0,0.0,1.1368683772161603e-13,0.0,8550.000000000004,8550.000000000004,0.0
2025-10-01,8550.0,0.0,0.0,0.0,8550.000000000002,8550.000000000002,0.0
2025-10-02,8550.000000000004,8.185452315956354e-12,4.092726157978177e-12,3.274180926382542e-12,5092.289668330415,5092.289668330415,0.0
2025-10-03,5092.28966833042,0.0,0.0,0.0,5086.403345311726,5086.403345311726,0.0
2025-10-04,5086.403345311727,0.0,0.0,0.0,8550.000000000005,8550.000000000005,0.0
2025-10-05,8550.000000000004,0.0,0.0,0.0,8550.000000000007,8550.000000000007,0.0
2025-10-06,8550.000000000004,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-10-07,8550.000000000002,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-10-08,8550.0,0.0,0.0,0.0,8550.000000000002,8550.000000000002,0.0
