date,phase,horizon_hours,horizon_objective_yuan,horizon_planned_cost_yuan,first_day_planned_cost_yuan,horizon_final_soc_kwh,first_day_end_soc_kwh,seconds,objective_error
2025-05-14,evaluation,24,43689.910975167906,41562.11145789249,41562.11145789249,1200.0000000000016,1200.000000000001,0.018886599980760366,2.1827872842550278e-11
2025-05-15,evaluation,24,43549.13581937615,41667.84560905885,41667.84560905885,1200.0000000000039,1200.0000000000036,0.01952329999767244,3.637978807091713e-11
2025-05-16,evaluation,24,17839.12937463804,16907.113478914798,16907.113478914798,1200.0000000000027,1200.000000000001,0.015567899972666055,2.1827872842550278e-11
2025-05-17,evaluation,24,17863.89317023904,16947.8415040553,16947.8415040553,1200.0000000000002,1200.0000000000014,0.013875000004190952,3.637978807091713e-12
2025-05-18,evaluation,24,42437.59190102704,40526.20526152265,40526.20526152265,1199.9999999999993,1200.0,0.01826230000006035,2.1827872842550278e-11
2025-05-19,evaluation,24,41327.976871301355,39582.02088785765,39582.02088785765,1199.9999999999982,1200.0000000000002,0.016917999979341403,1.4551915228366852e-11
2025-05-20,evaluation,24,41040.98647704898,39209.79202847673,39209.79202847673,1199.9999999999995,1200.0,0.01743279999936931,1.4551915228366852e-11
2025-05-21,evaluation,24,41252.29205693279,39417.1684620234,39417.1684620234,1200.0000000000002,1200.0,0.01679379999404773,2.1827872842550278e-11
2025-05-22,evaluation,24,41107.98452997983,39213.76441430413,39213.76441430413,1200.0000000000011,1200.0,0.017845299997134134,5.820766091346741e-11
2025-05-23,evaluation,24,16919.78658951841,15946.565945995324,15946.565945995324,1200.000000000002,1200.000000000001,0.015579500002786517,3.637978807091713e-12
2025-05-24,evaluation,24,16890.91074398336,16011.558893387715,16011.558893387715,1200.0000000000043,1200.0000000000018,0.014001800009282306,1.0913936421275139e-11
2025-05-25,evaluation,24,40166.69983744842,38515.60313447818,38515.60313447818,1200.0000000000011,1200.0000000000018,0.016281599993817508,1.4551915228366852e-11
2025-05-26,evaluation,24,39574.562323881415,37879.26145151655,37879.26145151655,1199.9999999999982,1200.0000000000018,0.017138099996373057,7.275957614183426e-12
