date,variant,alpha,base_planned_cost_yuan,margin_purchase_cost_yuan,purchase_kwh,margin_kwh,reserve_segments
2025-04-17,greedy_closed,0.8,34228.23545783923,2260.9993677544335,59453.27665431731,2773.0326103925872,0
2025-04-17,dp_fixed,0.8,34228.23545783923,2260.9993677544335,59453.27665431731,2773.0326103925872,51
2025-04-17,dp_closed,0.8,34228.23545783923,2260.9993677544335,59453.27665431731,2773.0326103925872,51
2025-04-18,greedy_closed,0.8,13227.867381463711,2259.8396867720335,29650.90608020199,2778.166678613794,0
2025-04-18,dp_fixed,0.8,13227.867381463711,2259.8396867720335,29650.90608020199,2778.166678613794,40
2025-04-18,dp_closed,0.8,13227.867381463711,2259.8396867720335,29650.90608020199,2778.166678613794,40
2025-04-19,greedy_closed,0.8,13316.63280086127,2263.031595648423,29791.97126943164,2781.9601723126007,0
2025-04-19,dp_fixed,0.8,13316.63280086127,2263.031595648423,29791.97126943164,2781.9601723126007,40
2025-04-19,dp_closed,0.8,13316.63280086127,2263.031595648423,29791.97126943164,2781.9601723126007,40
2025-04-20,greedy_closed,0.8,33494.36391949169,2202.6646894953374,58237.55870927035,2710.383271455292,0
2025-04-20,dp_fixed,0.8,33494.36391949169,2202.6646894953374,58237.55870927035,2710.383271455292,56
2025-04-20,dp_closed,0.8,33494.36391949169,2202.6646894953374,58237.55870927035,2710.383271455292,56
2025-04-21,greedy_closed,0.8,33150.855593628265,2231.5163499574646,57747.55885537257,2758.1067760680235,0
2025-04-21,dp_fixed,0.8,33150.855593628265,2231.5163499574646,57747.55885537257,2758.1067760680235,53
2025-04-21,dp_closed,0.8,33150.855593628265,2231.5163499574646,57747.55885537257,2758.1067760680235,53
2025-04-22,greedy_closed,0.8,33076.57610787352,2223.1786719095508,57281.12654747967,2754.652580829929,0
2025-04-22,dp_fixed,0.8,33076.57610787352,2223.1786719095508,57281.12654747967,2754.652580829929,56
2025-04-22,dp_closed,0.8,33076.57610787352,2223.1786719095508,57281.12654747967,2754.652580829929,56
2025-04-23,greedy_closed,0.8,33194.66279566485,2252.0692513077583,57769.5601472249,2796.4332355561273,0
2025-04-23,dp_fixed,0.8,33194.66279566485,2252.0692513077583,57769.5601472249,2796.4332355561273,55
2025-04-23,dp_closed,0.8,33194.66279566485,2252.0692513077583,57769.5601472249,2796.4332355561273,55
2025-04-24,greedy_closed,0.8,32920.83789344006,2262.408876820614,57134.78633303689,2800.7607058043095,0
2025-04-24,dp_fixed,0.8,32920.83789344006,2262.408876820614,57134.78633303689,2800.7607058043095,54
2025-04-24,dp_closed,0.8,32920.83789344006,2262.408876820614,57134.78633303689,2800.7607058043095,54
2025-04-25,greedy_closed,0.8,12654.133927769566,2135.444228849502,28794.415179616703,2678.0807536786115,0
2025-04-25,dp_fixed,0.8,12654.133927769566,2135.444228849502,28794.415179616703,2678.0807536786115,39
2025-04-25,dp_closed,0.8,12654.133927769566,2135.444228849502,28794.415179616703,2678.0807536786115,39
2025-04-26,greedy_closed,0.8,12564.35161639077,2163.6284217413895,28690.852206092903,2698.6627815833754,0
2025-04-26,dp_fixed,0.8,12564.35161639077,2163.6284217413895,28690.852206092903,2698.6627815833754,39
2025-04-26,dp_closed,0.8,12564.35161639077,2163.6284217413895,28690.852206092903,2698.6627815833754,39
2025-04-27,greedy_closed,0.8,31455.089162585493,2135.363330195116,54555.61040619785,2667.151595715534,0
2025-04-27,dp_fixed,0.8,31455.089162585493,2135.363330195116,54555.61040619785,2667.151595715534,60
2025-04-27,dp_closed,0.8,31455.089162585493,2135.363330195116,54555.61040619785,2667.151595715534,60
2025-04-28,greedy_closed,0.8,31603.818640562964,2189.0722435493612,55015.0777164763,2735.3191269932076,0
2025-04-28,dp_fixed,0.8,31603.818640562964,2189.0722435493612,55015.0777164763,2735.3191269932076,53
2025-04-28,dp_closed,0.8,31603.818640562964,2189.0722435493612,55015.0777164763,2735.3191269932076,53
2025-04-29,greedy_closed,0.8,32640.900557195004,2407.16512242964,57016.284625912784,2949.306496190623,0
2025-04-29,dp_fixed,0.8,32640.900557195004,2407.16512242964,57016.284625912784,2949.306496190623,52
2025-04-29,dp_closed,0.8,32640.900557195004,2407.16512242964,57016.284625912784,2949.306496190623,52
2025-04-30,greedy_closed,0.8,32160.164753340476,2378.097790055033,55735.26606121602,2920.5922308447334,0
2025-04-30,dp_fixed,0.8,32160.164753340476,2378.097790055033,55735.26606121602,2920.5922308447334,58
2025-04-30,dp_closed,0.8,32160.164753340476,2378.097790055033,55735.26606121602,2920.5922308447334,58
2025-05-01,greedy_closed,0.8,31959.966554307728,2292.066648449577,55105.1975599419,2825.6056894746503,0
2025-05-01,dp_fixed,0.8,31959.966554307728,2292.066648449577,55105.1975599419,2825.6056894746503,59
2025-05-01,dp_closed,0.8,31959.966554307728,2292.066648449577,55105.1975599419,2825.6056894746503,59
2025-05-02,greedy_closed,0.8,13133.571862791041,2269.267178101951,29953.220512750027,2787.3978208890067,0
2025-05-02,dp_fixed,0.8,13133.571862791041,2269.267178101951,29953.220512750027,2787.3978208890067,38
2025-05-02,dp_closed,0.8,13133.571862791041,2269.267178101951,29953.220512750027,2787.3978208890067,38
